severity,code,sheet,row,project,client,field,message,amount
warn,PLACEHOLDER_DATE,bez_ryb_NK,89,ЖК Рыбацкое,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,90,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,1412096.11
warn,PLACEHOLDER_DATE,bez_ryb_NK,90,ЖК Рыбацкое,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,91,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,1176625.45
warn,PLACEHOLDER_DATE,bez_ryb_NK,91,ЖК Рыбацкое,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,92,ЖК Новое К,,,Дебиторка без даты плана поступления,677663.74
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,93,ЖК Новое К,,,Дебиторка без даты плана поступления,857075.74
warn,PLACEHOLDER_DATE,bez_ryb_NK,93,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,94,ЖК Новое К,,,Дебиторка без даты плана поступления,582952.74
warn,PLACEHOLDER_DATE,bez_ryb_NK,94,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,95,ЖК Новое К,,,Дебиторка без даты плана поступления,335188.08
warn,PLACEHOLDER_DATE,bez_ryb_NK,95,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,96,ЖК Новое К,,,Дебиторка без даты плана поступления,346086.21
warn,PLACEHOLDER_DATE,bez_ryb_NK,96,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,97,ЖК Астрид,,,Дебиторка без даты плана поступления,425589.99
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,98,ЖК Астрид,,,Дебиторка без даты плана поступления,386661.24
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,99,ЖК Курортный,,,Дебиторка без даты плана поступления,575041.2
warn,PLACEHOLDER_DATE,bez_ryb_NK,99,ЖК Курортный,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
