"","Статья ДДС","ИТОГО, реализация за минуоом штрафа","Дата планового поступления ДС","месяц планвого поступления  ДС"
"","Поступление Клининг (ОД)","386 661,24","18.01.2027","1"
"","Поступление Клининг (ОД)","407 255,33","20.11.2026","11"
"","Поступление Клининг (ОД)","461 430,77","21.11.2026","11"
"","Поступление Клининг (ОД)","2 090 893,11","14.02.2027","2"
"","Поступление Клининг (ОД)","903 397,19","14.02.2027","2"
"","Поступление Клининг (ОД)","262 988,48","14.02.2027","2"
"","Поступление Клининг (ОД)","595 870,35","14.02.2027","2"
"","Поступление Клининг (ОД)","1 599 464,23","30.01.2027","1"
"","Поступление Клининг (ОД)","897 679,06","14.02.2027","2"
"","Поступление Клининг (ОД)","412 706,09","20.12.2026","12"
"","Поступление Клининг (ОД)","407 255,33","20.12.2026","12"
"","Поступление Клининг (ОД)","822 304,85","20.12.2026","12"
"","Поступление Клининг (ОД)","412 706,09","19.01.2027","1"
"","Поступление Клининг (ОД)","407 255,33","19.01.2027","1"
"","Поступление Клининг (ОД)","822 304,85","19.01.2027","1"
"","Поступление Клининг (ОД)","96 000,00","07.05.2026","5"
"","Поступление Клининг (ОД)","164 000,00","15.05.2026","5"
"","Поступление Клининг (ОД)","96 000,00","16.04.2026","4"
"","Поступление Клининг (ОД)","164 000,00","10.04.2026","4"
"","Поступление Клининг (ОД)","96 000,00","07.05.2026","5"
"","Поступление Клининг (ОД)","164 000,00","15.05.2026","5"
"","Поступление Клининг (ОД)","96 000,00","16.04.2026","4"
"","Поступление Клининг (ОД)","164 000,00","10.07.2026","7"
"","Поступление Клининг (ОД)","0,00","",""
"","","0,00","",""
"","","0,00","",""
"","","0,00","",""
"","","0,00","",""
"","","0,00","",""
"","","0,00","",""
"","","0,00","",""
"","","0,00","",""
"","","0,00","",""
"","","0,00","",""
"","","0,00","03.02.1900","2"
